model_key,model_id,relation,n,refusal_rate,value_rate,correct_rate,wrong_rate,acc_given_value,delta_cos,n_test
gemma_7b_it,google/gemma-7b-it,company_ceo,298,0.15771812080536912,0.8422818791946308,0.1342281879194631,0.7080536912751678,0.1593625498007968,0.4402676820755005,75.0
gemma_7b_it,google/gemma-7b-it,company_hq,674,0.040059347181008904,0.9599406528189911,0.3768545994065282,0.5830860534124629,0.39258114374034003,0.6695094704627991,169.0
gemma_7b_it,google/gemma-7b-it,country_language,24,0.0,1.0,1.0,0.0,1.0,0.7367869019508362,6.0
gemma_7b_it,google/gemma-7b-it,father,991,0.4056508577194753,0.5943491422805247,0.11402623612512613,0.4803229061553986,0.19185059422750425,0.604550838470459,248.0
gemma_7b_it,google/gemma-7b-it,instrument,513,0.0,1.0,0.42105263157894735,0.5789473684210527,0.42105263157894735,0.8109781742095947,129.0
gemma_7b_it,google/gemma-7b-it,sport,318,0.009433962264150943,0.9905660377358491,0.8113207547169812,0.1792452830188679,0.819047619047619,0.7893747091293335,80.0
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,company_ceo,298,0.087248322147651,0.912751677852349,0.43288590604026844,0.4798657718120805,0.4742647058823529,0.5656679272651672,75.0
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,company_hq,674,0.02967359050445104,0.9703264094955489,0.6572700296735905,0.31305637982195844,0.6773700305810397,0.7064511179924011,169.0
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,country_language,24,0.0,1.0,1.0,0.0,1.0,0.7032455205917358,6.0
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,father,991,0.022199798183652877,0.9778002018163471,0.5368314833501514,0.4409687184661958,0.5490196078431373,0.5112437009811401,248.0
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,instrument,513,0.056530214424951264,0.9434697855750487,0.5653021442495126,0.37816764132553604,0.5991735537190083,0.7969136238098145,129.0
llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,sport,318,0.0031446540880503146,0.9968553459119497,0.8459119496855346,0.1509433962264151,0.8485804416403786,0.7828996777534485,80.0
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_ceo,298,0.040268456375838924,0.959731543624161,0.48322147651006714,0.47651006711409394,0.5034965034965035,0.467272937297821,75.0
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_hq,674,0.013353115727002967,0.9866468842729971,0.6765578635014837,0.31008902077151335,0.6857142857142857,0.6140702366828918,169.0
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,country_language,24,0.0,1.0,1.0,0.0,1.0,0.6903931498527527,6.0
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,father,991,0.04339051463168517,0.9566094853683148,0.515640766902119,0.4409687184661958,0.5390295358649789,0.4130650758743286,248.0
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,instrument,513,0.023391812865497075,0.9766081871345029,0.557504873294347,0.4191033138401559,0.5708582834331337,0.7242507338523865,129.0
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,sport,318,0.0031446540880503146,0.9968553459119497,0.9276729559748428,0.06918238993710692,0.9305993690851735,0.7803359031677246,80.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_ceo,298,0.013422818791946308,0.9865771812080537,0.28523489932885904,0.7013422818791947,0.2891156462585034,0.4445800483226776,75.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,company_hq,674,0.001483679525222552,0.9985163204747775,0.48516320474777447,0.5133531157270029,0.48588410104011887,0.5156037211418152,169.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,country_language,24,0.0,1.0,1.0,0.0,1.0,0.5307000875473022,6.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,father,991,0.013118062563067608,0.9868819374369324,0.2401614530776993,0.7467204843592331,0.24335378323108384,0.391115128993988,248.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,instrument,513,0.0,1.0,0.4522417153996101,0.5477582846003899,0.4522417153996101,0.6246672868728638,129.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,sport,318,0.0,1.0,0.8207547169811321,0.1792452830188679,0.8207547169811321,0.6175004839897156,80.0
