relation_key,mean_gap,min_gap,max_gap,n_models,mean_n_test
product_by_company,0.125887083241891,0.095923264880785,0.1908479420711964,4,131.0
company_hq,0.10931241459684948,0.0819137423971735,0.1493682649909939,4,169.0
person_father,0.0951922315009191,0.0769793627238769,0.112288040503597,4,248.0
person_mother,0.089177404640831,0.0779906399699079,0.1126245837461477,4,249.0
person_plays_position_in_sport,0.08592891207706847,0.058036614112815,0.1073838427331712,4,238.0
word_first_letter,0.08300153673078903,0.0631029850762823,0.1248031337757158,4,61.0
landmark_in_country,0.07852609202460437,0.0595228169554022,0.1198777585175999,4,209.0
star_constellation,0.07838630941587732,0.066886566198238,0.0913941693557819,4,91.0
person_occupation,0.07691818056065625,0.0508477787467238,0.0990160297561477,4,206.0
word_last_letter,0.07525611735044076,0.0427554458902592,0.094915774606523,4,61.0
company_ceo,0.0694664298235286,0.0580894605577707,0.083497936695309,4,75.0
landmark_on_continent,0.0689169851015749,0.0559363873602895,0.0913507152262291,4,237.0
person_native_language,0.0617347589641865,0.0558839117745434,0.070795601859749,4,230.0
person_plays_instrument,0.0568653645528791,0.0426535259224608,0.0779358936344238,4,129.0
person_plays_pro_sport,0.03923574071175422,0.0329807355970517,0.046611149560214,4,80.0
