model_key,variant,n_rel,pearson_nat,pearson_nat_p,spearman_nat,spearman_nat_p
gemma_7b_it,default_chat,21,-0.5903805987019903,0.004838721497478395,-0.6441558441558441,0.0016241422989667685
gemma_7b_it,subj_shallow_chat,21,-0.5698443033112672,0.007000921929781948,-0.6428571428571428,0.0016715248867048174
gemma_7b_it,obj_shallow_chat,21,-0.5584887411423374,0.008503348579699912,-0.5818181818181818,0.005660702226084469
gemma_7b_it,default_plain,21,-0.5399092083998493,0.011525072861878746,-0.5376623376623377,0.011943270626361557
llama3_1_8b_instruct,default_chat,21,-0.3544487652111584,0.11490757283599073,-0.4051948051948052,0.06842364541741944
llama3_1_8b_instruct,subj_shallow_chat,21,-0.16928062131801358,0.4632170458923627,-0.23636363636363636,0.30228813585284137
llama3_1_8b_instruct,obj_shallow_chat,21,-0.3544487652111584,0.11490757283599073,-0.4051948051948052,0.06842364541741944
llama3_1_8b_instruct,default_plain,21,-0.24878788682221425,0.27681984500108636,-0.26493506493506497,0.2457926187154074
mistral_7b_instruct,default_chat,21,-0.6042727069298016,0.003716716555068339,-0.571614190589364,0.006787795659291269
mistral_7b_instruct,subj_shallow_chat,21,-0.5979608554368636,0.004196107797143641,-0.6099383238220599,0.003326148857198388
mistral_7b_instruct,obj_shallow_chat,21,-0.5998749058587536,0.004045593808458513,-0.5800584911321615,0.005843171739664733
mistral_7b_instruct,default_plain,21,-0.584967270128463,0.0053459253691973165,-0.5547255895037692,0.009055958159065961
qwen2_5_7b_instruct,default_chat,21,-0.8041813499640857,1.117048565424923e-05,-0.7989607436646792,1.4032120817049284e-05
qwen2_5_7b_instruct,subj_shallow_chat,21,-0.828612603251285,3.4868949366409895e-06,-0.8268918916139323,3.8067898275323316e-06
qwen2_5_7b_instruct,obj_shallow_chat,21,-0.7698213392708331,4.488662882184165e-05,-0.7788243346780085,3.192232940760314e-05
qwen2_5_7b_instruct,default_plain,21,-0.6186096676916124,0.002795057337802904,-0.5878532300947436,0.00507031407071055
