model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,cosine,all,75,25,25,1.0,95,0.08,0.16,0.1158653963806444,38.92,32.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,cosine,all,51,17,17,1.0,57,0.29411764705882354,0.29411764705882354,0.3206972164241867,24.058823529411764,18.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,cosine,all,60,20,20,1.0,79,0.15,0.25,0.18716665161690224,30.1,37.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,cosine,all,223,75,75,1.0,287,0.013333333333333334,0.2,0.06540914490910626,91.73333333333333,73.0,17.242094039916992
llama3_1_8b_instruct,company_hq,cosine,all,505,169,169,1.0,163,0.0650887573964497,0.34911242603550297,0.18881361556326995,40.124260355029584,24.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,cosine,all,627,209,209,1.0,91,0.04784688995215311,0.48325358851674644,0.18047541443107615,22.16267942583732,12.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,cosine,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.830450070323488,1.5654008438818565,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,cosine,all,57,19,19,1.0,10,0.5263157894736842,1.0,0.6585213032581453,2.6842105263157894,1.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,cosine,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,41.96076965332031
llama3_1_8b_instruct,person_father,cosine,all,743,248,248,1.0,968,0.016129032258064516,0.06451612903225806,0.034433804268807905,348.56048387096774,317.0,17.830015182495117
llama3_1_8b_instruct,person_mother,cosine,all,745,249,249,1.0,962,0.0,0.024096385542168676,0.012050509738141509,355.2289156626506,305.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,cosine,all,689,230,230,1.0,30,0.6478260869565218,0.8565217391304348,0.7415874501801278,3.360869565217391,1.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,cosine,all,615,206,206,1.0,31,0.33495145631067963,0.8495145631067961,0.482872995274629,5.378640776699029,3.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,cosine,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.6524547803617571,1.945736434108527,2.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,cosine,all,714,238,238,1.0,14,0.42016806722689076,0.9915966386554622,0.5858590872246335,3.4705882352941178,2.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,cosine,all,238,80,80,1.0,5,0.275,1.0,0.4787500000000001,3.025,3.0,34.303409576416016
llama3_1_8b_instruct,person_university,cosine,all,68,23,23,1.0,69,0.0,0.17391304347826086,0.05557321014606358,34.65217391304348,35.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,cosine,all,33,11,11,1.0,44,0.0,0.2727272727272727,0.10208961288116686,20.363636363636363,21.0,23.734580993652344
llama3_1_8b_instruct,product_by_company,cosine,all,391,131,131,1.0,30,0.26717557251908397,0.7633587786259542,0.4499892512068533,7.450381679389313,2.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,cosine,all,271,91,91,1.0,31,0.12087912087912088,0.7692307692307693,0.2616587212256246,7.43956043956044,7.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,cosine,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,cosine,all,72,24,24,1.0,90,0.041666666666666664,0.25,0.09506929983304087,37.375,42.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,cosine,all,75,25,25,1.0,100,0.0,0.08,0.04601485660907656,51.48,50.0,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,cosine,all,39,13,13,1.0,51,0.0,0.23076923076923078,0.07574734564350918,23.46153846153846,24.0,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,cosine,all,57,19,19,1.0,76,0.3684210526315789,0.3684210526315789,0.3870384868332904,28.263157894736842,28.0,35.134090423583984
llama3_1_8b_instruct,word_first_letter,cosine,all,180,61,61,1.0,25,0.4918032786885246,0.8524590163934426,0.6160058496630338,4.60655737704918,2.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,cosine,all,180,61,61,1.0,18,0.29508196721311475,0.8688524590163934,0.46636321997942043,4.622950819672131,3.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,cosine,all,45,15,15,1.0,3,0.26666666666666666,1.0,0.5666666666666667,2.1333333333333333,2.0,43.75757598876953
