model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,cosine,all,subject_only,75,25,25,1.0,95,0.12,0.64,0.2558774891774892,11.04,8.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,cosine,all,subject_only,51,17,17,1.0,57,0.29411764705882354,0.5882352941176471,0.38695288275738104,8.235294117647058,7.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,cosine,all,subject_only,60,20,20,1.0,79,0.6,0.8,0.6730319145842059,7.0,1.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,cosine,all,subject_only,223,75,75,1.0,287,0.06666666666666667,0.25333333333333335,0.12845944872437176,62.72,36.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,cosine,all,subject_only,505,169,169,1.0,163,0.029585798816568046,0.09467455621301775,0.060009739183111546,82.20710059171597,87.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,cosine,all,subject_only,627,209,209,1.0,91,0.03349282296650718,0.0861244019138756,0.06500765789198598,54.28708133971292,71.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,cosine,all,subject_only,710,237,237,1.0,5,0.17721518987341772,1.0,0.5412798874824187,2.151898734177215,2.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,cosine,all,subject_only,57,19,19,1.0,10,0.0,1.0,0.2247702589807853,5.2105263157894735,5.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,cosine,all,subject_only,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,378.8050842285156
qwen2_5_7b_instruct,person_father,cosine,all,subject_only,743,248,248,1.0,968,0.24596774193548387,0.4475806451612903,0.3138767751456418,109.01209677419355,16.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,cosine,all,subject_only,745,249,249,1.0,962,0.08032128514056225,0.1686746987951807,0.11616258697903871,211.6586345381526,117.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,cosine,all,subject_only,689,230,230,1.0,30,0.013043478260869565,0.13478260869565217,0.08530013034888029,18.217391304347824,20.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,cosine,all,subject_only,615,206,206,1.0,31,0.04854368932038835,0.30097087378640774,0.13321371222682085,18.75728155339806,21.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,cosine,all,subject_only,384,129,129,1.0,6,0.08527131782945736,1.0,0.39677002583979365,3.124031007751938,3.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,cosine,all,subject_only,714,238,238,1.0,14,0.14705882352941177,0.9831932773109243,0.3800984496362647,4.218487394957983,4.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,cosine,all,subject_only,238,80,80,1.0,5,0.3625,1.0,0.5700000000000003,2.6375,2.0,306.1748962402344
qwen2_5_7b_instruct,person_university,cosine,all,subject_only,68,23,23,1.0,69,0.08695652173913043,0.34782608695652173,0.14980707196050688,23.304347826086957,21.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,cosine,all,subject_only,33,11,11,1.0,44,0.2727272727272727,0.8181818181818182,0.41056721056721057,6.909090909090909,5.0,243.78701782226562
qwen2_5_7b_instruct,product_by_company,cosine,all,subject_only,391,131,131,1.0,30,0.030534351145038167,0.26717557251908397,0.11688124611463252,14.0,14.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,cosine,all,subject_only,271,91,91,1.0,31,0.18681318681318682,0.7582417582417582,0.3226569918846668,7.978021978021978,7.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,cosine,all,subject_only,37,13,13,1.0,3,0.38461538461538464,1.0,0.6282051282051282,2.0,2.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,cosine,all,subject_only,72,24,24,1.0,90,0.041666666666666664,0.3333333333333333,0.14366613936770345,27.833333333333332,27.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,cosine,all,subject_only,75,25,25,1.0,100,0.12,0.44,0.22080910017055527,24.2,14.0,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,cosine,all,subject_only,39,13,13,1.0,51,0.46153846153846156,0.6923076923076923,0.5055906625674067,10.076923076923077,7.0,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,cosine,all,subject_only,57,19,19,1.0,76,0.2631578947368421,0.7894736842105263,0.3603389300757721,6.894736842105263,8.0,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,cosine,all,subject_only,180,61,61,1.0,25,0.6229508196721312,1.0,0.7733801717408276,1.7377049180327868,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,cosine,all,subject_only,180,61,61,1.0,18,0.19672131147540983,0.819672131147541,0.39641668200009555,5.573770491803279,3.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,cosine,all,subject_only,45,15,15,1.0,3,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,1.0,387.233642578125
